URL does not exist
         394396 function calls (376828 primitive calls) in 2.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.004    0.002 http11.py:140(_send_request_headers)
        1    0.000    0.000    0.004    0.004 error.py:1(<module>)
     2829    0.002    0.000    0.004    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.004    0.002 threading.py:1153(_wait_for_tstate_lock)
        1    0.000    0.000    0.004    0.004 _status_codes.py:8(codes)
       30    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      236    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.004    0.004 _models.py:1249(__init__)
        1    0.000    0.000    0.003    0.003 request.py:935(AbstractBasicAuthHandler)
        1    0.000    0.000    0.003    0.003 idna.py:1(<module>)
      247    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      177    0.001    0.000    0.003    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.003    0.003 stapled.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
     4653    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
        1    0.003    0.003    0.003    0.003 {method 'split' of 'bytearray' objects}
       13    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
     6417    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 _parseaddr.py:1(<module>)
        3    0.000    0.000    0.003    0.001 typing.py:2780(__new__)
        2    0.000    0.000    0.003    0.002 _eventloop.py:1(<module>)
       14    0.000    0.000    0.003    0.000 dataclasses.py:661(_cmp_fn)
        1    0.000    0.000    0.003    0.003 lowlevel.py:1(<module>)
        1    0.000    0.000    0.003    0.003 request.py:315(__init__)
       40    0.000    0.000    0.003    0.000 typing.py:885(__init__)
      272    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        4    0.000    0.000    0.003    0.001 http11.py:163(_send_event)
      683    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
